user_id,tag_id
27228,3341
4680,4554
1564,634
1112,338
28957,2251
30050,1310
451,760
32590,4034
2018,1820
27188,3035
29662,26
20405,173
1480,73
27228,3342
21803,4
23134,161
5370,2341
14761,5615
10981,61
34263,3432
2176,1646
78,74
78,71
21540,1743
297,1252
38,1225
21014,4223
5138,2942
6226,63
31548,623
4949,3237
21535,6
26175,372
3358,926
28449,1513
26092,4524
34181,62
18797,793
5295,87
28630,8151
20363,127
18781,308
1388,2210
24028,331
5295,88
31854,100
3932,321
29493,5910
4956,49
11546,801
21662,45
25999,446
27828,1990
2176,3868
2176,3869
25665,911
95,386
26438,4118
2176,3866
2176,3867
21508,761
27117,9929
6791,702
3524,614
19748,61
20679,2593
25791,2511
27806,645
7736,4092
22059,1954
33805,1746
15401,5472
10481,5896
2589,765
4279,188
10946,5766
1622,1054
5223,307
5941,3039
34743,43
31757,62
27197,1494
1782,1113
30264,11172
26984,79
4715,870
20676,846
19841,1
2975,760
4295,911
4609,968
33702,1268
26487,8359
4334,4300
21730,88
81,188
29219,10817
7721,429
1634,177
27022,2104
1449,21
277,85
1000,442
33640,5612
25367,9281
105,711
18870,5859
5740,1058
31458,3611
33207,548
170,21
170,24
26961,83
25296,1489
22234,702
30659,1854
8966,1480
31967,902
23159,6
27113,2419
26024,9533
10981,62
4215,1666
26024,9536
26024,9535
26024,9534
2959,1660
26024,9539
26024,9538
1539,2025
22836,1854
28066,1443
22719,406
29241,1108
1189,2082
18812,7182
144,605
23017,3085
29893,7078
4134,3377
2542,396
32942,441
26727,4
1560,447
4134,2421
12721,582
21014,156
4102,199
4102,198
22407,5123
768,35
26813,2561
24235,9065
4250,2563
21552,657
722,31
994,1034
25492,67
27856,1242
22816,1994
19824,552
25492,61
27731,10198
23737,2252
13426,280
22880,858
32784,3611
2941,29
25120,70
21272,85
25486,2915
21272,87
657,11
32206,7923
5103,1817
23170,1147
5506,582
27276,10039
159,661
21475,657
559,26
26317,21
28487,22
5098,196
5270,45
22,3621
44,679
23017,2003
25971,446
501,65
8,4400
501,67
501,60
1959,3682
2667,163
1959,3680
1959,3681
27849,674
4109,1681
8791,492
44,5240
2188,237
27970,3366
33444,1310
20509,547
331,69
331,68
8356,668
2389,151
25082,2627
30039,489
31101,72
2644,6
31951,10707
331,67
27732,454
3346,1550
11921,246
3346,1553
35876,63
11921,241
3346,1557
3346,1559
21839,1528
26924,1734
9801,3229
3381,2429
27875,101
1262,14
1262,12
2057,68
2057,66
3894,5062
28758,5130
26183,21
11841,4111
11346,4503
25561,5864
4526,66
34249,45
22059,328
3648,1679
4526,68
4526,69
27298,1295
14496,79
309,49
28811,450
27913,4199
24930,674
7761,515
29607,441
25452,45
22041,1820
32009,9812
21681,373
309,43
5500,154
21579,1061
25978,681
25207,6062
3942,3202
1894,3605
21280,3601
23286,8839
21115,5373
3265,2819
3239,236
30074,4784
3642,2
515,2
3642,6
23111,8780
126,229
29235,323
312,308
534,764
378,188
21661,109
21083,3710
19944,4367
26709,744
31171,4483
378,183
26163,614
25728,4989
25522,3485
378,187
27191,62
4005,2258
25081,241
3404,741
20878,907
30803,1504
255,71
6686,5784
25043,8101
20878,900
30166,45
1962,953
28603,2558
33064,5665
27361,1990
21054,441
20213,6
36120,61
28366,2048
28393,9529
22599,1103
2522,48
2669,50
3834,4961
18762,968
25735,2472
3113,25
12471,29
29236,43
20172,3371
35442,521
829,149
299,10595
139,1204
1622,1886
12146,1757
29810,45
21156,75
10391,2234
1575,338
34042,958
27952,5502
27872,750
28705,1663
23527,66
481,5483
2,83
5184,67
5184,66
3537,210
5184,63
5184,62
5184,61
5184,60
29601,8301
4280,432
23488,8698
28985,8938
33,100
2365,48
30914,1498
25940,5770
29498,3809
31015,73
25523,1
27088,6571
30251,5165
2639,79
25523,6
22936,101
51,376
2564,49
15861,6917
289,234
97,588
16081,692
22,479
21689,23
31338,8306
8211,76
8211,74
2718,375
3227,539
30818,441
21822,3485
21822,3486
2647,49
10161,6427
25331,1002
2647,45
25414,3896
29551,3487
1455,1528
34853,488
10776,26
32089,45
2379,60
465,1236
33012,2065
23697,1012
29349,45
3,776
87,45
2959,441
33404,7384
35065,132
717,4595
22870,5259
4430,870
29698,1457
3,7171
34526,482
23631,1827
30024,72
26176,230
20918,29
11526,1954
28501,5365
1501,2018
10621,4804
4285,1743
34832,63
1441,2657
30776,11309
1930,194
28121,1681
18753,1361
4543,3550
27839,6
20674,5667
11006,6512
12186,6629
11006,6510
3058,391
26400,445
27743,74
11766,1128
2088,163
28884,858
2996,1746
13181,801
36115,21
1939,2256
21163,2414
32131,1310
24943,165
6506,122
632,380
141,67
2177,6
141,61
6506,124
2302,343
800,289
2975,21
28648,4484
19573,308
141,68
2840,3003
29243,1909
294,377
22277,5751
26728,2894
3,4618
28121,21
4402,4
26875,251
4402,6
99,1058
27952,1515
971,67
4279,189
1279,108
13131,483
30404,429
150,809
25300,2942
2068,40
2068,45
631,2314
631,2315
631,2316
631,2317
631,2310
631,2311
631,2312
631,2313
25153,1146
23843,373
46,76
34743,45
46,74
361,798
19388,7369
19388,7368
30751,1096
26198,64
28078,4626
3728,89
875,92
46,79
1806,68
26380,2341
21718,6190
27344,71
20130,2352
3551,4840
1806,67
20526,202
2844,4127
28744,5910
1033,3810
2718,68
11,5293
29086,432
29067,62
27207,5173
23257,291
4636,5512
27207,5177
27207,5174
26976,1942
22434,188
1936,931
29399,9115
25268,3360
5125,359
28274,287
3725,4992
2908,871
29495,45
4057,767
1543,1753
10376,159
29021,957
34029,8452
26891,45
195,751
32575,1147
10216,1
20134,88
10216,3
3129,1062
2520,702
29870,1016
5788,6005
5788,6004
5788,6003
5788,6002
1011,24
329,983
29601,5005
1609,62
1483,343
25334,9272
34293,1743
35030,1481
31990,726
30600,286
5088,921
3123,151
30600,285
30049,74
5183,911
26115,3110
22707,7005
22707,7004
3146,406
25791,1223
19573,70
19573,71
23170,4
13256,6732
13256,6731
2660,233
34521,10402
28481,2
26406,1241
1086,1460
1982,438
31913,4
28838,10661
28838,10660
28825,45
265,359
4043,1928
25376,5973
5227,75
11636,3455
28314,10452
28314,10451
28314,10450
29893,1125
32064,6
36123,202
21388,1
29315,164
25049,780
1332,1068
1579,2718
5773,5998
25367,489
465,3493
1332,1060
1332,1067
1332,1066
26605,8151
34267,11523
26364,75
27149,2894
5381,5869
34513,3316
20955,321
20033,1013
23030,23
20033,1014
5383,554
24985,61
36026,62
26721,978
6406,437
122,5136
19437,7382
19437,7383
19437,7384
3981,707
33188,11868
3589,284
2282,45
33504,11068
38,281
24627,2574
7866,1719
3966,12
1696,1936
29054,435
1442,9
15266,2025
3134,68
26973,1168
27117,4277
29620,3960
4546,1494
27117,4276
984,2742
984,2743
984,2741
939,313
984,2744
10296,2
5617,5975
18,21
33708,668
8606,2964
27617,1870
3758,1522
25441,1013
1442,2
2641,373
2641,375
31254,246
8236,4370
5617,5974
26002,1608
5270,343
28432,66
1031,545
18958,180
18927,5419
20154,3903
25026,2028
27877,1745
28426,81
26785,94
32903,6151
3199,862
35514,2090
32882,154
29485,1435
2048,2605
28296,441
390,173
14101,1505
27852,1277
952,66
952,67
4390,214
29372,4
29039,7066
25510,81
3105,515
31109,177
1900,614
26893,3459
5033,73
28803,1113
6406,2510
4191,857
22505,2272
11311,1331
32229,4639
31761,2
26175,49
29388,45
31761,6
31761,4
29124,87
19796,3618
31842,1173
25557,740
1323,216
5689,234
30294,582
8836,43
1033,4127
27477,3745
8836,45
27821,71
31447,8057
21801,438
3104,764
29372,2
27821,76
21955,182
9781,51
7781,74
2390,83
25651,1225
28444,1146
28296,10000
2973,4350
33682,176
25120,2447
5147,3096
33770,198
30608,154
25679,4905
3702,4981
1732,406
27446,21
1314,604
26527,8831
35471,3125
27576,1310
26373,3041
32131,659
4544,1186
25739,1431
26517,3636
20072,515
2647,446
20396,2622
2526,1927
2091,73
2647,441
3337,4734
28548,1989
5289,706
29938,6452
641,407
32217,62
6726,5972
2982,40
25935,435
329,1838
329,1839
16861,313
31658,7472
5800,68
21697,2952
606,9944
23105,1161
30452,72
20878,78
11466,3799
20161,1267
28289,2655
38,7918
29417,145
18875,1197
31389,263
26953,88
2596,145
26309,2265
27197,2914
23546,354
20713,3767
113,2107
3337,531
479,31
1106,242
555,2
2910,188
35094,3525
33179,87
28615,761
20255,752
1732,408
15091,430
35698,3944
9301,443
26282,7397
24985,8607
3210,154
9771,843
11221,1157
33318,45
32526,892
2948,170
31024,45
31806,8834
35575,63
25453,4525
25289,1378
2764,531
20016,764
21067,1035
1982,1747
25289,1376
29522,553
2476,602
21640,8209
2785,452
13736,2363
2870,256
2393,281
1569,1521
7896,71
25135,12
29620,6332
28488,8611
28488,8610
27246,2164
29173,589
21658,386
21658,387
11921,1025
21658,385
27,437
21658,388
21658,389
10266,241
33038,12
24028,45
11826,3449
18920,7242
18920,7241
18920,7240
18787,3108
23051,2402
1279,75
21492,45
11236,6
1279,76
1279,71
1279,70
21492,43
765,72
765,71
879,979
12831,5016
1370,213
72,229
31,287
21247,2402
2213,3923
2213,3922
2213,3921
2213,3920
2948,799
33338,426
29734,6323
2712,1450
92,203
92,207
23427,8870
3934,767
22639,1087
2868,679
2890,2
12241,2055
27609,2014
27301,1182
1982,752
20418,7753
107,308
980,2621
2816,1266
1929,25
23193,438
19863,579
313,1756
283,35
952,2017
15321,70
32731,3377
26828,45
351,5115
422,437
4074,2499
79,140
5118,48
20078,3270
31967,2235
18901,20
2537,1395
209,1183
27098,549
1742,714
3895,45
33478,308
12786,1113
2506,229
839,1006
3243,1642
1293,4
18824,156
839,1001
9486,1229
1375,411
27954,1448
993,1034
1326,3083
34798,63
395,1089
107,46
27899,4019
107,41
24287,4480
770,1113
18251,1990
24338,19
395,1083
23523,30
32854,26
28882,9758
127,11402
4226,2649
20987,71
609,442
22616,63
29178,4
21942,628
12301,24
27334,45
26018,19
20134,4
2445,714
36044,623
24318,4596
20607,2
27490,1684
20607,4
20607,6
122,5242
4949,1666
5174,5757
36069,21
20256,2360
256,3619
4920,1515
27081,9391
26640,9762
27012,3523
568,1655
21582,3794
34830,5302
27915,21
28085,10354
871,749
2287,1146
23678,2028
3700,78
27574,8230
1677,584
3108,62
1677,582
31842,1684
3700,71
3700,74
215,211
31116,1719
24033,1896
2154,48
29420,21
26506,71
33928,2232
2154,41
253,1680
2154,47
26506,72
26182,9590
21137,1336
21811,454
21,3957
25752,49
8546,1419
31601,1588
12986,75
5206,2467
27011,6
2660,2315
29756,2588
31293,1013
4294,955
22629,74
14216,62
20552,867
28696,1028
26890,6535
31862,5302
4077,5197
21732,1002
25557,5623
20595,6800
4103,3060
27013,2292
26723,1182
25296,3471
35604,43
378,1160
286,714
4199,1
25422,9101
4199,2
7971,6
4199,4
23473,1202
489,188
2128,49
14891,481
20779,174
13066,1186
23168,70
178,481
25043,1310
481,5293
27736,668
1185,750
22870,69
19307,2065
31684,2096
22300,337
534,78
21005,492
3862,85
22870,63
2416,2399
534,73
534,71
24,17
911,1680
31224,5521
32221,282
6656,74
30351,2292
1185,61
3729,1186
26131,454
30665,1203
2967,1951
22776,188
25299,77
1773,417
2034,517
25299,70
12481,78
22776,180
12481,74
18758,7139
984,173
3741,88
927,164
2567,1132
1701,165
1124,1190
29646,71
15831,6939
22280,3889
26415,341
31213,483
4389,18
33811,1624
26735,92
28999,45
26500,2466
30978,437
23980,29
24275,2106
12086,3859
30661,1330
3780,515
28421,10474
25486,867
3932,3957
31384,1855
949,1906
949,1907
32885,175
2103,21
4426,24
949,1908
949,1909
24060,957
2103,24
4903,2168
3527,1042
1591,83
240,518
248,92
25326,66
248,90
21158,3499
20178,79
28163,1655
24701,621
1552,122
2964,1037
4094,5217
33689,63
32271,288
3780,408
2996,61
969,21
2856,19
1919,1069
2996,69
2996,68
22294,585
2639,88
14531,809
33433,10366
21766,1885
2312,832
31477,1289
23105,858
16881,2801
2923,4168
13406,1051
22575,12
5441,653
31644,2164
9316,454
33898,62
27555,12
4352,549
31634,11024
27417,4010
29783,62
29783,67
33886,1147
841,679
22870,920
8936,12
23001,1310
22709,92
21163,2168
3932,287
25812,323
28884,2212
21655,432
5409,2013
5206,76
1455,1057
9866,1404
31188,29
22357,2627
11856,1495
1353,1146
27611,9543
1080,493
27821,579
15276,313
21299,2056
11211,5426
1617,1259
20259,1719
35086,63
34361,85
141,6134
34428,4892
1477,66
21514,432
2954,323
20134,34
23030,433
1477,61
1771,43
34098,63
15016,1229
2058,2571
29444,165
8336,442
2787,4
4134,1652
12571,203
4097,1261
2787,1
2787,2
95,313
3257,610
22435,75
29477,10900
30651,29
5506,1034
22435,71
3621,39
9071,105
24529,335
21440,8119
21440,8118
21440,8117
502,1177
20532,188
22943,358
390,454
27635,284
1860,1
20869,968
30578,11275
30121,62
92,4306
29390,127
17791,7019
17791,7018
23199,62
336,544
31789,90
164,759
3084,407
30578,11276
26639,161
28419,1421
4009,3967
20263,659
33811,3108
25416,9300
31920,73
33667,1173
31967,2747
27862,429
27278,80
21913,732
27278,82
32091,11127
8066,155
18491,740
27436,403
14696,482
17801,21
26391,2294
25084,49
35610,1743
33821,154
29761,230
1187,21
25894,740
2157,83
28248,5311
28921,6539
208,122
21730,18
28428,717
25521,1142
86,707
2173,119
35434,1
21096,72
21851,8290
21818,1884
26278,275
27968,10315
26278,278
6486,45
3727,101
6486,41
27502,70
100,1
100,2
100,3
2789,68
100,9
28190,5827
1676,1437
14171,3290
446,1262
1256,3030
22719,76
3807,68
29953,1521
100,161
2655,48
2416,2563
1973,2085
26855,1969
3712,45
19307,7358
27735,2730
29692,1017
19307,7355
19307,7357
19307,7356
28826,173
20159,702
29814,496
21748,45
7181,2741
26278,1521
20422,1711
24974,92
29739,19
28583,3859
128,24
8841,584
27705,10186
982,1642
14166,6808
982,849
8841,582
20285,7692
28394,4785
14166,6807
26499,2942
33157,10470
4949,582
32033,4197
3990,1349
244,160
3616,809
27333,446
33427,74
22507,62
122,5005
85,62
85,63
85,64
32449,9453
28240,28
26406,1992
15096,121
1165,74
1165,76
28240,22
1165,70
25136,61
1165,72
11,1914
4233,323
26953,278
34568,12062
1564,287
606,101
34568,12064
606,105
28046,22
127,5543
18136,6514
982,49
25963,664
30335,63
3314,3070
20682,1224
7181,343
29498,45
25,1349
5206,1584
5295,12
31431,867
29908,6166
135,820
3350,1404
370,657
18071,585
32054,19
28415,4639
4925,182
2357,968
4091,24
22320,4935
4091,21
4925,188
4674,3944
35,232
2912,1070
27125,88
25315,5331
22582,2796
5421,101
22092,2745
28265,10425
31366,11432
19138,46
617,46
25070,5302
32094,18
5617,86
29590,10929
5617,88
3814,1
3814,2
21832,4928
3814,5
3814,6
3814,7
5111,24
4441,68
23250,787
4340,432
23730,1461
4573,1452
31116,101
1910,164
27464,62
23866,88
25344,5908
28449,74
26162,590
3227,3
3407,4793
3407,4792
13076,202
3407,4790
18857,405
19385,87
33864,62
33864,63
21361,5288
22429,8519
3479,166
11186,574
32171,878
5998,1586
2959,4038
2431,2856
28035,5733
29343,10866
21534,1239
14,581
29404,2191
2110,1300
1615,843
22552,1743
22115,321
33525,2182
3405,68
4909,69
4909,68
26475,3664
21074,61
21074,66
34329,198
23000,740
26909,9906
21281,1743
32808,2319
5689,1204
24686,8901
24686,8902
803,81
20112,1952
28480,6356
28125,180
22367,180
32948,2252
31422,2020
4790,614
35850,154
22,45
20539,4463
19045,6943
29793,176
5,100
4189,801
33387,6056
27597,78
605,49
24999,2904
26658,1114
20131,90
22722,8637
25543,1711
127,9130
24988,1444
4428,63
1417,2
27526,612
2107,14
29038,1
1417,6
1579,1743
3,636
29255,6
21650,92
269,390
25256,1576
32203,7701
30696,167
3844,752
21005,30
2778,21
27142,1001
113,7438
1042,1283
18859,3577
19625,446
2778,28
3205,3868
293,516
4120,1540
3925,4036
9746,1203
6052,75
5542,2410
21883,2718
6052,71
26,333
33199,8452
1448,24
3239,3992
3548,487
9676,406
13326,45
23104,236
3981,1998
23415,1402
32798,92
1669,2033
2312,1051
30062,7836
3981,1991
624,717
1742,3274
2700,22
6711,814
22677,1018
1766,1034
22578,2561
3629,231
32005,21
29874,1623
29111,906
6711,816
15376,75
35264,3378
31,518
2564,260
22447,19
30063,88
33571,2318
23030,707
5000,5681
5000,5680
22195,589
957,210
34358,9198
8211,818
6160,6046
4722,12
26083,288
10741,74
27553,1734
30692,6300
21615,145
20527,5565
34077,63
34294,2136
27456,763
4031,515
20527,5568
33779,11226
26321,71
10836,30
31696,10959
22933,1028
1113,1113
35475,12131
33432,45
8556,915
14496,215
11326,180
26764,4846
33458,3315
10566,2622
27596,333
1033,89
25919,376
22240,165
27718,737
1033,81
25107,321
2040,65
25414,406
23925,2719
23925,2718
33385,77
2262,215
456,769
2025,447
33049,5941
30452,958
456,761
14706,61
23111,8667
1936,871
33528,2115
36110,6566
2416,5
6531,5786
344,29
31490,6795
29692,63
14366,1033
5383,450
24686,389
26406,4006
23407,2511
5383,458
35976,2195
560,1404
1633,545
24686,385
28695,1992
31342,717
581,545
30001,2684
23109,7585
14,3570
5452,406
19388,1018
27970,870
26344,45
18936,6008
1399,246
26074,3964
28992,5114
27924,494
4032,2211
25184,4809
23277,29
32258,5864
30492,8751
31351,21
26257,2675
20519,7781
27086,1746
23615,63
23615,62
35508,2795
29410,45
1369,641
31061,11384
21,313
26692,6583
26837,4277
26837,4276
13391,101
20830,1406
1016,408
34946,63
27228,7277
1712,1365
11976,4248
26837,4278
27225,973
10621,328
4234,6
31451,3880
25794,1480
2456,123
30197,2324
22467,3755
22467,3756
24968,823
3402,19
27497,4270
31105,3896
25972,373
17861,107
4262,31
26075,278
2706,1989
18870,1013
12766,204
28330,391
4122,1097
33529,2193
8076,1584
34222,1002
1826,211
20958,19
3979,79
30560,173
23649,6285
5055,1063
26427,105
3420,1523
12121,61
20952,4676
27480,3425
21640,707
4609,45
2498,871
14946,814
14946,815
28934,1085
19205,2409
4609,49
131,118
4399,282
4576,2352
19925,75
23457,6
3620,2942
29912,394
33847,23
34963,63
32569,1740
27953,9321
19474,180
32502,1186
21074,2553
19474,185
35120,8483
33779,207
1542,45
691,45
30363,9176
1542,42
5280,37
23078,1767
28428,45
1542,48
2132,1788
33946,2655
23797,7497
2931,1241
15571,832
481,2211
27644,21
29774,1504
15091,3777
2060,3735
34307,589
2012,2
20527,3108
19650,1108
26640,5593
28749,4785
5464,611
21350,45
311,1189
22353,2647
20964,451
29273,958
25014,5737
4149,661
18983,69
4149,663
20382,36
12141,2120
4149,667
32215,11653
639,871
26660,9657
20223,7668
3304,858
3767,323
481,2847
20223,7667
21835,45
3069,1205
3338,1573
18792,61
29205,1646
3338,1577
3410,79
27058,2013
280,291
19975,18
3338,1578
3410,70
2231,531
3219,68
2941,7354
29788,3316
21982,959
9111,1480
31744,45
349,1860
4255,2362
311,582
15906,6912
6991,752
20933,451
55,45
1837,24
24516,850
20216,210
27773,496
32466,432
26847,1294
24516,856
2492,68
28265,442
9086,4236
23500,432
28351,8139
28584,2511
23415,5903
26015,8232
31940,1204
30302,859
2492,66
2,1463
1587,72
2607,177
29205,1962
20392,6
20527,6057
21514,3302
20851,91
25409,2045
2240,2568
3217,244
2254,786
26723,7095
22791,597
10621,253
13396,4048
4941,607
4256,85
4666,78
25043,280
22611,5895
31352,299
2350,4030
2350,4031
34777,63
23980,2791
4666,74
19573,757
22021,123
3414,398
6169,4993
32535,3371
1806,1506
29229,446
3414,392
31616,95
1411,338
28607,1089
3467,3523
36120,63
4813,1053
14941,45
23792,8972
6115,85
20267,45
19670,12
4215,2028
25935,88
29425,4773
19380,45
3,3081
28987,492
26370,9142
23174,1
27565,88
12391,2982
23174,6
1523,6
28415,1028
5211,338
122,1749
26871,30
22780,1146
21916,41
3685,69
554,467
20244,3453
28394,6828
4846,393
554,460
31120,21
795,246
25226,3041
3510,3523
23728,1225
21681,101
24532,3887
1180,165
1180,164
5423,166
37,651
37,650
24594,1832
37,652
285,138
893,1542
893,1543
307,1799
307,1798
307,1797
307,1796
307,1795
92,4649
1016,66
35908,1199
26155,161
12911,1093
28091,2701
4122,3061
10266,442
13156,2012
1132,87
25107,2235
3576,68
3576,69
32192,769
28499,10526
34280,1680
26769,376
3576,61
33652,10820
122,1917
12831,1655
32772,212
156,376
21615,8201
3621,122
3621,121
1685,454
1575,1233
34642,4702
2172,657
3957,155
208,497
22056,869
32710,2602
30683,4517
2029,614
25230,337
20213,291
3901,931
26908,102
18761,7152
23277,6
18761,7150
18761,7151
28510,6
2046,3748
2441,94
805,348
18839,3360
2967,288
32398,11678
31355,70
21737,589
4389,170
21874,3840
701,718
29483,8271
29271,6
13406,437
27612,15
701,716
11051,71
4727,1276
29773,4502
911,24
5291,578
13,23
13,22
9,5293
33024,1439
20078,5751
32907,34
26746,1189
5291,575
21137,1817
20021,1161
34789,63
8076,70
31775,725
31944,9552
3430,4816
3430,4817
3430,4814
3430,4815
3430,4812
3430,4813
189,48
189,49
189,46
28643,2608
30327,11188
3430,4818
189,41
28038,1435
28902,207
1367,344
1902,2897
30352,1186
29990,999
21582,2197
3009,1681
24969,432
32418,664
22964,2138
10951,3068
27776,10219
27301,1443
22995,646
170,973
25409,45
25409,41
32920,140
25329,7384
2422,256
12336,2564
31757,10829
4388,1664
21847,2958
4668,74
21134,3003
20130,5638
4449,3118
30198,816
28124,1435
23601,8162
2807,203
28421,998
32922,3840
21609,3041
3136,78
645,338
5707,1079
1383,335
299,3619
29518,839
29779,10986
28791,2511
961,641
911,1186
18994,808
1472,1
23749,1310
9671,288
25815,1743
23432,88
173,246
33406,2398
13121,69
1038,2278
56,809
20663,1439
26831,572
21460,8128
21460,8129
19887,6445
31682,11501
10471,1186
24939,686
502,101
1497,6
19,88
1073,1636
323,2
32569,1521
4425,563
28129,278
4425,567
2060,86
31550,10066
1024,311
35926,154
21540,89
27623,386
20029,558
2476,73
2476,72
36069,901
34853,210
20345,88
35538,63
4967,3868
34928,291
10046,1443
4967,3860
29188,4346
1003,2784
25135,46
28295,6
3551,2284
22737,45
30308,3204
5214,69
26191,2424
35985,582
2019,3198
1187,596
15746,6933
27940,101
28831,1
3642,163
35589,308
2926,454
25360,1
26002,6556
3642,168
11526,2232
1179,2970
27848,313
23238,4553
27912,496
28155,1952
30077,405
33782,67
4052,1108
1742,1711
4582,145
2948,1443
12391,1099
28536,1874
26785,5590
10566,1169
2613,975
2613,977
27780,77
22681,1058
21470,325
22434,338
20539,4118
34755,63
12521,1099
5181,1983
21163,3930
18868,6
4247,263
770,45
27103,612
1539,442
5111,2
4897,763
1997,3720
30665,1616
22009,2774
996,1225
307,313
360,516
295,373
31217,8506
31037,972
21768,1018
23055,173
28820,1310
1318,395
32449,1631
26492,814
35864,8604
21555,45
28354,1204
168,81
168,80
20256,166
20256,165
30327,62
14511,2263
20663,5844
19657,333
6307,2017
31761,832
23292,2133
31381,1013
27224,107
511,70
2312,977
34054,5809
28348,2064
91,8775
22422,1856
768,1983
30290,321
29953,2359
33741,3113
27115,730
2543,45
28769,313
28121,10157
1507,751
31574,63
10296,343
1633,187
1805,61
25648,1850
30725,1210
20664,188
30857,1827
3210,1002
11866,764
11866,762
5055,432
3210,1003
33090,349
29279,34
3863,210
18431,165
3863,212
20479,2278
32615,63
2154,1038
21299,2392
30984,2651
11151,155
4159,415
2050,78
633,9130
23883,564
74,101
31576,1483
74,107
29640,6316
25791,1005
2941,1225
19817,85
26583,9744
1792,2306
21982,3371
5047,14
19438,3417
6379,2409
29661,1387
127,520
21205,2387
30495,9944
3548,3556
2481,83
1791,1266
33263,1191
5106,412
35987,81
3661,21
8041,343
35217,63
18996,215
29788,21
21295,4637
1771,608
3729,21
966,2397
3968,60
11021,3102
35435,5231
12391,24
27685,2845
20033,3038
4068,3203
14,764
12391,21
35893,10403
3875,25
20021,244
20033,437
44,87
24004,23
3275,704
21,70
21,73
21,72
21,75
21,74
1067,6
21,76
21,79
21,78
14,5293
34181,4410
8201,69
10876,799
33976,406
1900,482
1429,79
26435,7699
27099,4130
4590,6
11916,479
32821,2507
29417,492
651,31
19675,312
5234,2651
20641,7833
20641,7832
20641,7835
