ros_question_id,ros_tag_id
9033,37
9033,123
9036,17
9036,20
9036,22
9037,17
9037,20
9037,39
9038,48
9038,17
9038,20
9039,17
9039,20
9039,22
9040,94
9040,12
9041,155
9041,48
9041,87
9041,128
9041,219
9042,38
9043,49
9043,170
9043,124
9044,17
9044,38
9044,129
9045,130
9046,131
9046,122
9047,132
9047,75
9047,133
9048,49
9048,124
9049,134
9049,128
9050,123
9050,122
9050,125
9052,135
9052,122
9053,136
9053,137
9054,38
9055,138
9055,139
9055,127
9056,126
9056,6
9056,140
9057,51
9057,141
9058,73
9058,67
9059,484
9059,18
9059,124
9060,328
9060,38
9060,17
9061,17
9061,38
9062,24
9062,514
9063,50
9064,521
9064,488
9064,525
9065,540
9065,17
9065,259
9066,539
9066,17
9067,17
9067,38
9068,483
9068,522
9068,244
9069,12200
9070,74
9070,437
9070,521
9071,139
9071,3108
9071,50
9071,77
9072,37
9072,144
9072,20
9072,39
9073,23
9073,142
9073,17
9073,20
9073,143
9074,38
9074,20
9075,144
9075,20
9075,39
9075,527
9077,171
9077,531
9077,20
9078,523
9078,143
9078,524
9078,20
9079,70
9079,172
9079,17
9079,85
9079,171
9081,17
9081,20
9082,20
9082,39
9082,526
9083,2
9083,25
9083,522
9083,116
9084,187
9084,254
9084,260
9085,77
9085,285
9085,286
9085,50
9086,38
9087,2
9087,187
9087,18
9087,253
9088,2
9088,629
9088,619
9089,50
9089,188
9089,275
9089,11
9095,6
9095,12201
9091,46
9091,188
9092,2
9092,968
9094,37
9094,261
9094,262
9096,70
9096,521
9096,488
9096,525
9097,37
9097,920
9097,275
9097,329
9097,432
9098,50
9098,273
9099,74
9100,45
9100,77
9100,248
9101,37
9101,253
9102,72
9102,717
9103,94
9103,12
9103,287
9104,121
9104,1217
9105,2
9105,24
9106,94
9106,12
9106,72
9108,1076
9108,139
9108,127
9107,12
9107,46
9107,6
9107,4
9110,1249
9110,1247
9110,1248
9110,1080
9111,88
9111,46
9111,18
9111,4
9112,26
9113,1189
9113,60
9114,23
9114,277
9114,276
9114,278
9115,155
9115,48
9118,156
9118,93
9118,623
9119,88
9119,12202
9119,399
9119,724
9119,18
9120,38
9120,146
9120,147
9121,38
9122,2291
9122,20
9122,169
9123,145
9123,188
9123,364
9125,94
9126,75
9126,89
9127,1189
9127,74
9127,39
9128,779
9129,176
9129,127
9129,623
9130,396
9130,49
9130,410
9130,6
9131,2
9131,2291
9131,65
9132,250
9132,50
9132,188
9132,623
9132,93
9133,11
9133,22
9133,711
9133,437
9134,182
9134,253
9134,21
9134,40
9136,1036
9136,586
9136,29
9135,1494
9135,924
9135,596
9116,2291
9116,78
9116,93
9137,156
9137,256
9138,2
9138,49
9138,6
9139,239
9139,1359
9139,76
9140,2
9140,3115
9141,805
9141,749
9141,254
9142,72
9142,49
9142,753
9142,511
9142,6
9143,182
9143,253
9145,156
9145,20
9145,93
9146,122
9146,131
9147,2
9148,156
9148,20
9148,93
9149,12
9149,2
9150,1392
9150,24
9150,31
9151,3025
9151,60
9151,67
9152,2291
9152,20
9153,706
9153,75
9154,587
9154,405
9154,100
9154,12203
9155,73
9155,781
9155,148
9156,414
9156,722
9156,721
9156,411
9157,438
9157,24
9158,89
9158,75
9159,73
9159,623
9159,1362
9160,24
9160,260
9161,74
9162,2
9162,169
9162,24
9162,93
9162,254
9163,192
9163,22
9163,73
9163,183
9164,911
9164,749
9164,177
9165,21
9166,73
9166,169
9166,67
9168,2
9168,24
9168,517
9169,178
9169,429
9169,127
9170,183
9171,145
9171,50
9171,139
9171,1836
9172,2
9172,136
9172,72
9172,809
9173,93
9173,623
9175,238
9176,131
9176,941
9177,239
9177,1463
9178,155
9178,87
9178,86
9178,169
9179,2
9179,275
9180,193
9180,187
9180,127
9180,101
9180,916
9180,915
9181,1034
9182,73
9182,1465
9182,1464
9183,23
9183,1199
9183,18
9183,149
9184,46
9184,4
9185,1469
9185,1470
9185,433
9185,1471
9186,155
9186,87
9186,169
9186,75
9187,73
9187,20
9188,439
9188,73
9188,20
9188,67
9189,73
9189,987
9189,93
9189,83
9189,518
9190,37
9190,657
9190,122
9192,2
9192,150
9192,151
9192,127
9192,31
9193,23
9193,820
9193,187
9194,1487
9194,60
9195,126
9195,1200
9195,93
9196,706
9196,75
9196,1080
9197,23
9197,65
9197,20
9197,39
9197,22
9198,152
9198,289
9198,145
9198,1397
9198,153
9199,264
9200,1484
9200,254
9200,260
9201,22
9201,20
9201,65
9201,60
9201,177
9202,1076
9204,328
9204,38
9205,12204
9205,933
9205,12205
9205,10972
9205,5615
9205,725
9206,6
9206,1460
9206,99
9207,1513
9207,2456
9207,710
9208,49
9208,170
9209,83
9209,6
9209,93
9209,518
9210,2
9210,24
9211,12206
9211,4133
9211,21
9211,3650
9212,155
9213,65
9213,20
9213,148
9214,155
9214,239
9214,157
9214,168
9215,439
9215,73
9215,67
9216,176
9216,287
9216,429
9217,149
9217,312
9217,748
9218,555
9218,551
9218,683
9219,3115
9219,70
9219,30
9220,461
9221,2
9221,18
9221,75
9222,250
9222,1477
9222,145
9222,289
9222,184
9223,48
9223,257
9223,254
9223,93
9223,258
9224,24
9225,579
9225,93
9225,2256
9226,623
9226,917
9227,820
9227,187
9228,555
9228,26
9228,551
9229,26
9230,632
9230,832
9230,618
9230,1080
9231,2
9231,105
9231,479
9231,481
9232,155
9232,688
9232,169
9232,760
9233,12207
9234,1539
9235,72
9235,46
9235,18
9235,161
9236,33
9236,21
9236,117
9236,106
9237,100
9237,21
9237,623
9237,104
9238,1396
9240,726
9240,49
9240,21
9241,1430
9241,547
9242,969
9242,858
9243,1070
9243,21
9243,12208
9243,107
9244,73
9244,93
9245,639
9246,70
9246,75
9247,372
9248,373
9248,74
9248,1081
9248,72
9248,11
9249,38
9251,633
9251,1080
9251,67
9252,24
9252,31
9253,2
9253,42
9254,75
9254,307
9255,2
9255,323
9255,254
9256,49
9256,21
9257,2
9257,188
9257,1836
9259,12
9259,287
9259,1071
9260,2
9260,24
9260,31
9261,150
9261,137
9261,139
9262,1247
9263,38
9239,375
9239,85
9264,515
9264,24
9264,31
9265,250
9265,251
9265,50
9268,290
9268,188
9270,38
9271,333
9271,519
9271,38
9272,48
9272,1507
9272,1508
9273,452
9273,11
9274,309
9275,254
9275,1357
9275,133
9276,2291
9276,93
9276,67
9277,1836
9278,21
9278,93
9278,355
9279,539
9279,78
9280,23
9280,2076
9280,72
9280,41
9281,12
9281,137
9281,103
9282,1069
9283,629
9283,131
9283,12207
9284,747
9284,49
9284,750
9284,6
9284,970
9285,414
9285,411
9286,176
9286,1634
9286,287
9286,85
9287,178
9287,127
9287,1398
9289,747
9289,314
9289,304
9290,429
9290,127
9290,31
9291,155
9291,83
9291,1060
9291,73
9291,93
9291,518
9292,1583
9292,75
9293,23
9293,70
9293,122
9294,496
9294,406
9295,126
9295,6
9295,185
9295,1468
9296,18
9296,21
9296,117
9296,104
9297,1037
9297,963
9297,1645
9297,1646
9297,6
9298,48
9298,24
9298,518
9299,100
9299,6
9300,562
9300,467
9301,2
9301,516
9301,31
9302,17
9302,22
9303,126
9303,6
9303,107
9304,2
9304,632
9304,1080
9305,2
9305,706
9305,75
9305,307
9306,83
9306,1487
9306,24
9306,518
9307,83
9307,1487
9307,60
9308,38
9309,78
9310,49
9310,21
9311,513
9311,60
9311,24
9312,405
9312,108
9312,3156
9312,49
9312,396
9313,2
9313,24
9314,178
9314,188
9315,615
9315,12
9316,8
9316,13
9317,1111
9317,1112
9317,6
9318,2
9318,89
9318,1331
9318,24
9320,2
9320,1332
9320,89
9320,6
9320,24
9321,1251
9321,1248
9321,1247
9321,1080
9322,48
9322,75
