id	title	summary
9084	vslam eigen and compile_error	"<div class=""snippet""><p>Hello,</p>

<p>I am trying to compile vslam as instructed but halting at some error mentioned below:</p>

<p>Is there anything that i am suppose to make link to eigen3 externally?</p>

<blockquote>
  <p>[rosmake-3] Finished &lt;&lt;&lt; rosnode
  ROS_NOBUILD in package rosnode <br/>
  [rosmake-3] Starting &gt;&gt;&gt;
  image_transport [ make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt;
  image_transport ROS_NOBUILD in package
  image_transport <br/>
  [rosmake-3] Starting &gt;&gt;&gt; cv_bridge [
  make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; cv_bridge
  ROS_NOBUILD in package cv_bridge <br/>
  [rosmake-3] Starting &gt;&gt;&gt;
  image_geometry [ make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt;
  image_geometry ROS_NOBUILD in package
  image_geometry <br/>
  [rosmake-3] Starting &gt;&gt;&gt; rosmsg [ make
  ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; rosmsg
  ROS_NOBUILD in package rosmsg  No
  Makefile in package rosmsg <br/>
  [rosmake-3] Starting &gt;&gt;&gt; rosservice [
  make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; rosservice
  ROS_NOBUILD in package rosservice <br/>
  [rosmake-3] Starting &gt;&gt;&gt; roswtf [ make
  ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; roswtf
  ROS_NOBUILD in package roswtf <br/>
  [rosmake-3] Starting &gt;&gt;&gt; tf [ make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; tf
  ROS_NOBUILD in package tf <br/>
  [rosmake-3] Starting &gt;&gt;&gt; nav_msgs [
  make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; nav_msgs
  ROS_NOBUILD in package nav_msgs <br/>
  [rosmake-3] Starting &gt;&gt;&gt;
  dynamic_reconfigure [ make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt;
  dynamic_reconfigure ROS_NOBUILD in
  package dynamic_reconfigure <br/>
  [rosmake-3] Starting &gt;&gt;&gt; stereo_msgs [
  make ] <br/>
  [rosmake-3] Finished &lt;&lt;&lt; stereo_msgs
  ROS_NOBUILD in package stereo_msgs <br/>
  [rosmake-2] Finished &lt;&lt;&lt; bpcg [PASS] [
  1.40 seconds ]                                                                                                                   [rosmake-1] Finished &lt;&lt;&lt;
  vocabulary_tree [PASS] [ 1.51 seconds
  ] <br/>
  [ rosmake ] Last 40 linesame_common:
  3.5 sec ]                                                                                               [ 1 Active 51/54 Complete ]
  {-------------------------------------------------------------------------------   /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:206:
  error: ‘SelfAdjoint’ was not declared
  in this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:206:
  error: ‘Upper’ was not declared in
  this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:206:
  error: template argument 3 is invalid 
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:212:
  error: ‘SelfAdjoint’ was not declared
  in this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:212:
  error: ‘Lower’ was not declared in
  this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:212:
  error: template argument 3 is invalid 
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:231:
  error: ‘SelfAdjoint’ was not declared
  in this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:231:
  error: ‘Lower’ was not declared in
  this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:231:
  error: template argument 3 is invalid 
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:237:
  error: ‘SelfAdjoint’ was not declared
  in this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:237:
  error: ‘Upper’ was not declared in
  this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:237:
  error: ‘Dynamic’ was not declared in
  this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:237:
  error: template argument 3 is invalid 
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:237:
  error: template argument 4 is invalid 
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:255:
  error: ‘SelfAdjoint’ was not declared
  in this scope <br/>
  /opt/ros/cturtle/stacks/geometry_experimental/eigen3/include/Eigen3/src/Core/SelfAdjointView.h:255:
  error: ‘Lower’ was not declared ...</br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></br/></p></blockquote><span class=""expander""> <a>(more)</a></span></div>"
9097	How can I get a unique device path for my Arduino/FTDI device	"<p>I'd like to be able to access my Arduino that uses an FTDI USB-Serial device with a unique path. However, the order of /dev/ttyUSB devices depends on which device is plugged in first or USB bus initialization during the boot order. I'd like consistent paths across reboots so that I can use those paths in my launch files.</p>
"
9107	Corrected Odometry from GMapping / Karto?	"<p>I've been building (2D) maps using GMapping, and visualizing the results in rviz. So far, so good. However, the tf frames that are available (/odom -&gt; /base_link, most importantly) represent the original, dead-reckoning, uncorrected odometry.</p>

<p>So far as I can tell, GMapping and Karto don't publish an extra, ""corrected odometry"" frame that I could use to visualize the current best hypothesis about the robot's pose.</p>

<p>Have I missed something, or do I need to put in a feature request?</p>
"
9130	Visualizing continuous and revolute joint types in rviz	"<p>When creating a URDF file for a robot with a head on a pan and tilt mechanism, whenever I try to use a joint type ""continuous"" or ""revolute"" in a manner similar to that shown in the tutorials the model is displayed within Rviz as a disorganized jumble.  If I change the joint type to ""fixed"" then the model displays normally.  The model also seems to check out ok using check_urdf, and no URDF errors show up when Rviz is loading.  This seems to be a bug, since the same thing happens with the tutorial file 06-flexible.urdf</p>

<p>I'm using the current cturtle full binary installation on Ubuntu 10.10.</p>
"
9135	How can multiple robots communicate using ROS?	"<p>For many applications, communication between robots is necessary. What is currently the recommended best practice for achieving that?</p>
"
9159	How much space is required for a complete install of cturtle-base?	"<p>I am installing it on my beagleboard ubuntu distro. I need to know how big of an sdcard I need.</p>
"
9163	How do I set up a ROS mirror?	"<p>At my university, we have several computers that have ROS installed on them.  If I have access to a server, how do I set up a mirror of the ROS Ubuntu repository to speed up installing ROS packages?</p>
"
9166	How to install ROS on BeagleBoard Ubuntu 10.10?	"<p>Any useful info please.</p>
"
9208	How to check xacro syntax like check_urdf?	"<p>Hello!</p>

<p>I would like to do a command line syntax check of an Xacro robot model similar to the one used for non-xacro files which is:</p>

<p>$ rosrun urdf check_urdf model.urdf</p>

<p>I know I can generate a temporary URDF file from my Xacro file using:</p>

<p>$ rosrun xacro xacro.py model.urdf.xacro &gt; tmp.urdf</p>

<p>and then run 'rosrun urdf check_urdf' on that file.  But for some reason I can't figure out how to simply pipe the two commands together into one command.  Can it be done?</p>

<p>Thanks!
patrick</p>
"
9210	problem with kinect tutorial.	"<p> Hi, 
I'm new to kinect and ROS, and am using Ubuntu 10.10. 
After following the instructions at  <a href=""http://www.ros.org/wiki/kinect"">http://www.ros.org/wiki/kinect</a>  and  <a href=""http://www.ros.org/wiki/kinect/Tutorials/Getting%20Started"">http://www.ros.org/wiki/kinect/Tutori...</a> , I still can not getting any point clouds from the kinect.  </p>

<p>From the RVIZ, it says ""no message received"" for the TOPIC under pointCloud2.
Also, the following error in the console: </p>

<p>+++++++++++++++++</p>

<p>... </p>

<p>[Stream 70] Expected 1748 data bytes, but got 1908. Dropping... </p>

<p>[Stream 70] Expected 1748 data bytes, but got 1908. Dropping... </p>

<p>[kinect_driver-4] process has died [pid 30244, exit code -4]. 
log files: /home/blurpc2/.ros/log/93cd600e-4130-11e0-99b0-000e7faeafc1/kinect_driver-4*.log </p>

<p>+++++++++++++++++ </p>

<p>What did I miss? 
Thanks in advance! </p>
"
