author,tag_id
14,22
162,22
113,22
84,22
134,22
14,81
162,81
113,81
84,81
134,81
14,93
162,93
113,93
84,93
134,93
14,176
162,176
113,176
84,176
134,176
14,203
162,203
113,203
84,203
134,203
14,439
162,439
113,439
84,439
134,439
14,1398
162,1398
113,1398
84,1398
134,1398
14,1442
162,1442
113,1442
84,1442
134,1442
14,1979
162,1979
113,1979
84,1979
134,1979
14,2247
162,2247
113,2247
84,2247
134,2247
14,3657
162,3657
113,3657
84,3657
134,3657
14,3899
162,3899
113,3899
84,3899
134,3899
14,4127
162,4127
113,4127
84,4127
134,4127
14,4626
162,4626
113,4626
84,4626
134,4626
14,6482
162,6482
113,6482
84,6482
134,6482
25,22
183,22
198,22
152,22
14,40
25,40
183,40
198,40
152,40
25,93
183,93
198,93
152,93
14,149
25,149
183,149
198,149
152,149
14,195
25,195
183,195
198,195
152,195
14,333
25,333
183,333
198,333
152,333
14,531
25,531
183,531
198,531
152,531
14,578
25,578
183,578
198,578
152,578
14,607
25,607
183,607
198,607
152,607
14,702
25,702
183,702
198,702
152,702
14,740
25,740
183,740
198,740
152,740
14,1416
25,1416
183,1416
198,1416
152,1416
14,1488
25,1488
183,1488
198,1488
152,1488
14,1746
25,1746
183,1746
198,1746
152,1746
14,3127
25,3127
183,3127
198,3127
152,3127
14,3134
25,3134
183,3134
198,3134
152,3134
14,3844
25,3844
183,3844
198,3844
152,3844
14,6051
25,6051
183,6051
198,6051
152,6051
14,9130
25,9130
183,9130
198,9130
152,9130
14,9944
25,9944
183,9944
198,9944
152,9944
12,79
153,79
5289,79
5132,79
2499,79
12,376
153,376
5289,376
5132,376
2499,376
12,1193
153,1193
5289,1193
5132,1193
2499,1193
12,5892
153,5892
5289,5892
5132,5892
2499,5892
38,281
13,281
1575,281
20863,281
21535,281
38,373
13,373
1575,373
20863,373
21535,373
38,426
13,426
1575,426
20863,426
21535,426
38,1453
13,1453
1575,1453
20863,1453
21535,1453
38,2243
13,2243
1575,2243
20863,2243
21535,2243
38,5293
13,5293
1575,5293
20863,5293
21535,5293
38,6134
13,6134
1575,6134
20863,6134
21535,6134
3,12
2578,12
875,12
18936,12
3,74
2578,74
875,74
18936,74
3,93
2578,93
875,93
18936,93
3,441
2578,441
875,441
18936,441
3,758
2578,758
875,758
18936,758
3,764
2578,764
875,764
18936,764
3,793
2578,793
875,793
18936,793
3,1225
2578,1225
875,1225
18936,1225
3,1261
2578,1261
875,1261
18936,1261
3,1746
2578,1746
875,1746
18936,1746
3,2132
2578,2132
875,2132
18936,2132
3,2133
2578,2133
875,2133
18936,2133
3,2178
2578,2178
875,2178
18936,2178
3,3616
2578,3616
875,3616
18936,3616
3,6008
2578,6008
875,6008
18936,6008
3,6034
2578,6034
875,6034
18936,6034
3,9963
2578,9963
875,9963
18936,9963
3,10182
2578,10182
875,10182
18936,10182
3,10628
2578,10628
875,10628
18936,10628
3,11681
2578,11681
875,11681
18936,11681
350,210
164,210
62,210
170,210
50,210
350,589
164,589
62,589
170,589
50,589
350,858
164,858
62,858
170,858
50,858
350,1058
164,1058
62,1058
170,1058
50,1058
350,1062
164,1062
62,1062
170,1062
50,1062
350,3322
164,3322
62,3322
170,3322
50,3322
350,4595
164,4595
62,4595
170,4595
50,4595
350,5783
164,5783
62,5783
170,5783
50,5783
350,6134
164,6134
62,6134
170,6134
50,6134
350,6582
164,6582
62,6582
170,6582
50,6582
357,23
24004,23
422,23
31116,23
357,101
24004,101
422,101
31116,101
357,437
24004,437
422,437
31116,437
357,520
24004,520
422,520
31116,520
357,564
24004,564
422,564
31116,564
357,664
24004,664
422,664
31116,664
357,702
24004,702
422,702
31116,702
357,740
24004,740
422,740
31116,740
357,747
24004,747
422,747
31116,747
357,1444
24004,1444
422,1444
31116,1444
357,2018
24004,2018
422,2018
31116,2018
357,3323
24004,3323
422,3323
31116,3323
357,5321
24004,5321
422,5321
31116,5321
357,6134
24004,6134
422,6134
31116,6134
357,7019
24004,7019
422,7019
31116,7019
357,7918
24004,7918
422,7918
31116,7918
357,9130
24004,9130
422,9130
31116,9130
357,11785
24004,11785
422,11785
31116,11785
9,37
195,37
3,37
680,37
9,296
195,296
3,296
680,296
9,776
195,776
3,776
680,776
9,1647
195,1647
3,1647
680,1647
9,2355
195,2355
3,2355
680,2355
9,2387
195,2387
3,2387
680,2387
9,3572
195,3572
3,3572
680,3572
9,3591
195,3591
3,3591
680,3591
9,3952
195,3952
3,3952
680,3952
9,5543
195,5543
3,5543
680,5543
9,6134
195,6134
3,6134
680,6134
9,9130
195,9130
3,9130
680,9130
9,10409
195,10409
3,10409
680,10409
8,19
25,19
394,19
393,19
8,22
394,22
393,22
8,48
25,48
394,48
393,48
8,73
25,73
394,73
393,73
8,176
25,176
394,176
393,176
8,438
25,438
394,438
393,438
8,969
25,969
394,969
393,969
8,1349
25,1349
394,1349
393,1349
8,1929
25,1929
394,1929
393,1929
8,2353
25,2353
394,2353
393,2353
8,2375
25,2375
394,2375
393,2375
8,2539
25,2539
394,2539
393,2539
8,3099
25,3099
394,3099
393,3099
8,4687
25,4687
394,4687
393,4687
8,5529
25,5529
394,5529
393,5529
8,6111
25,6111
394,6111
393,6111
8,6285
25,6285
394,6285
393,6285
8,6479
25,6479
394,6479
393,6479
8,6495
25,6495
394,6495
393,6495
8,6854
25,6854
394,6854
393,6854
8,8608
25,8608
394,8608
393,8608
91,19
265,19
568,19
1081,19
3,19
91,21
265,21
568,21
1081,21
3,21
91,40
265,40
568,40
1081,40
3,40
91,49
265,49
568,49
1081,49
3,49
91,121
265,121
568,121
1081,121
3,121
91,366
265,366
568,366
1081,366
3,366
91,396
265,396
568,396
1081,396
3,396
91,531
265,531
568,531
1081,531
3,531
91,645
265,645
568,645
1081,645
3,645
91,657
265,657
568,657
1081,657
3,657
91,710
265,710
568,710
1081,710
3,710
91,740
265,740
568,740
1081,740
3,740
91,926
265,926
568,926
1081,926
3,926
91,1055
265,1055
568,1055
1081,1055
3,1055
91,1058
265,1058
568,1058
1081,1058
3,1058
91,1062
265,1062
568,1062
1081,1062
3,1062
91,1289
265,1289
568,1289
1081,1289
3,1289
91,1634
265,1634
568,1634
1081,1634
3,1634
91,1916
265,1916
568,1916
1081,1916
3,1916
91,2529
265,2529
568,2529
1081,2529
3,2529
91,3156
265,3156
568,3156
1081,3156
3,3156
91,3404
265,3404
568,3404
1081,3404
3,3404
91,3609
265,3609
568,3609
1081,3609
3,3609
91,4400
265,4400
568,4400
1081,4400
3,4400
91,4886
265,4886
568,4886
1081,4886
3,4886
91,4887
265,4887
568,4887
1081,4887
3,4887
91,4888
265,4888
568,4888
1081,4888
3,4888
91,4889
265,4889
568,4889
1081,4889
3,4889
91,4917
265,4917
568,4917
1081,4917
3,4917
91,5242
265,5242
568,5242
1081,5242
3,5242
91,5314
265,5314
568,5314
1081,5314
3,5314
91,5676
265,5676
568,5676
1081,5676
3,5676
91,6008
265,6008
568,6008
1081,6008
91,6036
265,6036
568,6036
1081,6036
3,6036
91,7373
265,7373
568,7373
1081,7373
3,7373
91,8775
265,8775
568,8775
1081,8775
3,8775
91,9130
265,9130
568,9130
1081,9130
91,9963
265,9963
568,9963
1081,9963
107,6
61,6
6786,6
32710,6
107,88
61,88
6786,88
32710,88
107,105
61,105
6786,105
32710,105
107,408
61,408
6786,408
32710,408
107,746
61,746
6786,746
32710,746
107,832
61,832
6786,832
32710,832
107,833
61,833
6786,833
32710,833
107,834
61,834
6786,834
32710,834
107,1686
61,1686
6786,1686
32710,1686
107,2847
61,2847
