author,resp_acc,id,name,up_votes,down_votes,pseudokarma
3,1153,3,tfoote,2938,80,3295274
25,574,25,joq,3782,8,2166276
122,773,122,dornhege,1710,52,1281634
875,226,875,130s,3714,19,835070
5184,1228,5184,gvdhoorn,478,15,568564
1034,1282,1034,ahendrix,512,104,523056
21,459,21,Lorenz,997,15,450738
22,211,22,Martin Günther,1082,15,225137
14,159,14,Eric Perko,942,27,145485
57,541,57,Stefan Kohlbrecher,269,2,144447
1272,176,1272,jarvisschultz,732,10,127072
120,135,120,lucasw,847,2,114075
26450,100,26450,jayess,989,35,95400
173,189,173,Dan Lazewatsky,489,27,87318
10,335,10,William,232,21,70685
11,231,11,kwc,273,11,60522
19,215,19,David Lu,278,12,57190
304,75,304,Thomas D,723,10,53475
84,317,84,fergs,167,3,51988
2647,240,2647,mgruhler,222,20,48480
113,189,113,Felix Endres,245,20,42525
3632,133,3632,paulbovbel,312,3,41097
4478,192,4478,Wolf,219,8,40512
1112,105,1112,Procópio,378,15,38115
1370,113,1370,demmeln,325,7,35934
3384,203,3384,Tom Moore,140,0,28420
1108,107,1108,Martin Peris,252,1,26857
9,77,9,mjcarroll,444,106,26026
18581,88,18581,NEngelhard,356,69,25256
3675,88,3675,BennyRe,255,0,22440
50,95,50,jbohren,250,17,22135
410,74,410,Adolfo Rodriguez T,275,1,20276
141,147,141,AHornung,223,91,19404
38,67,38,Wim,252,7,16415
186,69,186,Kevin,226,6,15180
458,62,458,Airuno2L,230,3,14074
87,61,87,Thomas,233,10,13603
20159,32,20159,spmaniato,372,2,11840
351,30,351,Asomerville,423,53,11100
79,79,79,Ivan Dryanovski,141,1,11060
2967,46,2967,sai,217,3,9844
1505,52,1505,weiin,178,10,8736
2873,65,2873,Boris,131,0,8515
62,50,62,bit-pirate,175,9,8300
30,60,30,Pi Robot,139,1,8280
2,94,2,mmwise,90,2,8272
2573,34,2573,georgebrindeiro,243,11,7888
25268,18,25268,Orhan,435,1,7812
91,128,91,hsu,61,0,7808
2444,39,2444,lindzey,209,15,7566
961,51,961,karthik,148,2,7446
127,95,127,Mac,84,6,7410
1072,52,1072,Ben_S,143,3,7280
3014,84,3014,davinci,84,5,6636
1314,43,1314,michikarg,153,1,6536
606,39,606,felix k,225,61,6396
1483,59,1483,tbh,105,1,6136
635,200,635,DimitriProsser,30,1,5800
1086,84,1086,allenh1,73,4,5796
5464,24,5464,Javier V. Gómez,220,0,5280
12831,35,12831,l0g1x,150,1,5215
13601,61,13601,Mehdi.,89,7,5002
3462,66,3462,tonybaltovski,90,15,4950
12,24,12,Patrick Bouffard,215,11,4896
3925,74,3925,Jeremy Zoss,66,1,4810
1081,17,1081,ZdenekM,285,7,4726
198,20,198,Arkapravo,244,8,4720
31943,13,31943,josephcoombe,358,2,4628
1001,52,1001,SL Remy,86,5,4212
29,59,29,Chad Rockey,73,3,4130
356,33,356,Pablo Iñigo Blasco,126,2,4092
18936,18,18936,2ROS0,228,1,4086
25185,60,25185,PeteBlackerThe3rd,67,0,4020
2526,38,2526,cagatay,102,0,3876
51,79,51,Daniel Stonier,49,0,3871
1858,32,1858,Mani,121,1,3840
2416,29,2416,prasanna.kumar,129,3,3654
2667,24,2667,gustavo.velascoh,148,2,3504
3102,34,3102,kmhallen,105,2,3502
9486,70,9486,bvbdort,48,0,3360
2186,15,2186,Cerin,273,70,3045
653,147,653,damonkohler,25,5,2940
2515,48,2515,Miquel Massot,63,2,2928
266,41,266,Stephan,73,4,2829
195,66,195,Ryan,40,0,2640
1352,34,1352,Po-Jen Lai,77,2,2550
21281,24,21281,AndyZe,105,1,2496
1770,65,1770,piyushk,39,1,2470
4327,24,4327,Icehawk101,99,1,2352
180,56,180,Patrick Mihelich,41,0,2296
26592,14,26592,M@t,163,0,2282
3548,23,3548,Stephane.M,94,3,2093
888,148,888,KruseT,15,1,2072
2193,37,2193,MarkyMark2012,55,0,2035
317,14,317,JonW,142,0,1988
102,18,102,Kei Okada,111,1,1980
23527,79,23527,Akif,26,1,1975
121,13,121,alfa_80,150,4,1898
358,37,358,Vincent Rabaud,50,1,1813
21619,13,21619,jacksonkr_,136,0,1768
155,25,155,Lorenzo Riano,67,1,1650
12786,24,12786,Maya,66,0,1584
2680,14,2680,tlinder,115,2,1582
2702,9,2702,damjan,176,1,1575
3904,41,3904,kalectro,42,4,1558
1973,22,1973,McMurdo,69,0,1518
21851,37,21851,Humpelstilzchen,43,2,1517
26847,9,26847,dinesh,169,1,1512
1640,50,1640,Sebastian Kasperski,30,0,1500
214,73,214,moritz,20,0,1460
905,32,905,MichaelKorn,45,1,1408
20682,21,20682,VictorLamoine,70,3,1407
3784,10,3784,autonomy,140,1,1390
78,32,78,sedwards,43,1,1344
139,16,139,raphael favier,86,3,1328
982,31,982,rtoris288,46,4,1302
189,13,189,sam,100,0,1300
134,46,134,KoenBuys,32,5,1242
2176,16,2176,Erwan R.,80,3,1232
31,26,31,makokal,43,0,1118
5347,6,5347,atp,185,0,1110
4609,12,4609,bchr,94,2,1104
3078,32,3078,WilliamWoodall,34,0,1088
28405,9,28405,clyde,118,0,1062
2389,17,2389,yigit,63,1,1054
