id,name,freq
45,ROS,2776
63,kinetic,2623
21,gazebo,1977
6,rviz,1946
62,indigo,1429
2,Kinect,1421
1,turtlebot,1181
12,tf,1126
71,catkin,1079
446,moveit,1044
18,navigation,892
61,hydro,881
68,fuerte,773
70,Python,735
88,move_base,725
49,urdf,719
4,gmapping,718
74,roslaunch,709
69,groovy,699
75,pcl,615
85,C++,570
92,rosjava,560
81,opencv,558
72,rosbag,519
30,rospy,493
24,openni,464
188,camera,463
19,error,454
198,catkin_make,453
154,amcl,436
432,arduino,433
76,roscpp,424
79,subscriber,419
101,odometry,415
46,SLAM,412
67,Ubuntu,408
66,install,401
34,imu,395
313,2d_navigation,395
87,cmake,384
165,rosserial,382
3120,robot_localization,380
323,RGBDSLAM,365
376,publisher,343
164,android,322
105,map,320
48,rosmake,314
60,rosdep,312
83,osx,303
22,package,297
89,pointcloud,283
582,octomap,278
121,pr2,277
441,launch,277
73,installation,266
437,node,263
614,callback,261
958,ROS1,261
246,rostopic,249
1013,rqt,242
373,topic,237
406,laser,235
375,pointcloud2,234
166,rosserial_arduino,229
78,roscore,228
40,simulation,224
86,ARM,224
29,calibration,219
215,message,218
1186,rosrun,218
442,service,215
740,robot,211
84,ros2,207
26,actionlib,205
814,hector_slam,201
43,image,200
385,costmap,200
338,Hokuyo,199
454,odom,199
180,robot_pose_ekf,198
229,electric,195
431,laserscan,194
278,gps,190
496,lidar,190
65,rosinstall,189
308,costmap_2d,187
210,build,182
435,transform,180
429,cv_bridge,176
764,tutorial,175
1743,ros_control,173
90,boost,172
549,rosbridge,172
161,localization,171
77,nodelet,169
321,mapping,165
287,sensor_msgs,164
489,velodyne,164
816,hector,162
479,depth,161
149,stage,158
1489,network,158
3115,dynamic_reconfigure,158
122,arm_navigation,157
170,xacro,155
211,messages,154
809,publish,153
91,dependencies,152
309,image_transport,151
832,pose,151
3377,2DSLAM,150
31,openni_camera,148
843,openni_launch,147
39,beginner,146
968,nao,146
12202,base_local_planner,146
41,slam_gmapping,145
867,Husky,145
1443,plugin,145
1836,camera_calibration,145
4502,rtabmap,144
64,tf2,143
155,rosbuild,143
702,path,143
488,Qt,142
1241,cmd_vel,142
1435,Sensor,142
815,hector_mapping,140
482,subscribe,139
657,controller,139
244,Eclipse,137
553,rtabmap_ros,136
3341,mavros,135
1387,control,134
552,kobuki,133
173,rosparam,130
273,usb_cam,130
515,openni_tracker,130
1099,cpp,129
80,Debian,128
291,multiple,128
2166,lunar,128
717,matlab,125
214,source,124
14,openni_kinect,121
1089,topics,120
1147,4.RViz,118
1855,hector_quadrotor,117
23,tutorials,116
359,hokuyo_node,116
207,CMakeLists.txt,115
558,2d_laser_scanner,114
247,rosservice,112
402,navigation_stack,112
159,map_server,110
234,rosnode,110
932,ros-industrial,110
1146,3D,110
1746,file,110
396,joint,109
659,quaternion,108
936,ur5,108
145,stereo,107
256,image_view,107
212,build_from_source,106
292,packages,106
307,pcl_ros,106
521,GUI,104
1028,raspberry,104
1457,ardrone,104
3432,jade,103
156,rospack,102
487,ubuntu-12.04,102
1058,model,102
443,knowrob,101
12215,robot_state_publisher,101
177,stack,100
870,frame,99
1002,msg,99
1623,hector-slam,99
28,turtlesim,98
93,diamondback,98
608,stereo_image_proc,97
661,ompl,97
931,12.04,97
202,serial,96
426,driver,96
858,library,95
1204,bag,93
1225,time,93
242,logging,92
1719,rosaria,92
2977,1.gazebo,92
5864,6.turtlebot,92
199,bloom,91
275,USB,91
545,parameter,91
641,roboearth,91
1223,yaml,91
1494,communication,91
37,hardware,90
176,opencv2,90
563,nodes,90
564,data,89
2158,baxter,89
751,geometry_msgs,88
2262,catkin-cmake,88
607,point,87
763,turtlebot2,87
765,android_core,87
388,costmap2D,86
584,octomap_server,86
801,parameters,86
1444,velocity,86
1666,position,86
3378,2D_mapping,86
449,include,85
555,smach,85
731,namespace,84
3106,rplidar,84
335,xtion,83
539,Windows,83
3316,1.indigo,83
391,planner,82
730,1.navigation,82
12261,laser_scan_matcher,82
25,NXT,81
233,rostest,81
354,dynamixel,81
578,planning,81
704,crash,81
33,simulator,80
1480,RaspberryPi,80
4118,ekf,80
261,joystick,79
1018,custom_message,79
203,release,78
260,eigen,78
3371,nav2d,78
352,Trajectory,77
100,mesh,76
280,synchronization,76
