u	q	r
3	9033	0.25
11	9033	0.25
139	9033	0.25
2	9033	0.25
3	9036	0.3333333333333333
6791	9036	0.3333333333333333
2	9036	0.3333333333333333
3	9037	0.4
28	9037	0.2
119	9037	0.2
2	9037	0.2
27	9038	0.3333333333333333
28	9038	0.3333333333333333
2	9038	0.3333333333333333
25	9039	0.25
28	9039	0.25
31	9039	0.25
2	9039	0.25
7	9040	0.3333333333333333
33207	9040	0.3333333333333333
3	9040	0.3333333333333333
3	9041	0.2
44	9041	0.2
51	9041	0.2
437	9041	0.2
10	9041	0.2
3	9042	0.25
9	9042	0.25
23111	9042	0.25
12	9042	0.25
19	9043	0.3333333333333333
91	9043	0.3333333333333333
9	9043	0.3333333333333333
3	9044	0.5
7	9044	0.5
3	9045	0.16666666666666666
5184	9045	0.3333333333333333
23668	9045	0.3333333333333333
7	9045	0.16666666666666666
3	9046	0.6666666666666666
7	9046	0.3333333333333333
3	9047	0.5
7	9047	0.5
29	9048	0.3333333333333333
81	9048	0.3333333333333333
7	9048	0.3333333333333333
3	9049	0.5
7	9049	0.5
7	9050	0.2222222222222222
39	9050	0.2222222222222222
77	9050	0.2222222222222222
91	9050	0.1111111111111111
1687	9050	0.1111111111111111
2349	9050	0.1111111111111111
3	9052	0.5
7	9052	0.5
3	9053	0.5
31282	9053	0.25
7	9053	0.25
3	9054	0.3333333333333333
14	9054	0.3333333333333333
12	9054	0.3333333333333333
3	9055	0.5
7	9055	0.5
3	9056	0.16666666666666666
9	9056	0.3333333333333333
97	9056	0.16666666666666666
198	9056	0.16666666666666666
7	9056	0.16666666666666666
3	9057	0.5
7	9057	0.5
11	9058	0.16666666666666666
14	9058	0.16666666666666666
20	9058	0.5
252	9058	0.16666666666666666
9	9059	0.09090909090909091
22	9059	0.09090909090909091
25	9059	0.18181818181818182
29	9059	0.09090909090909091
57	9059	0.09090909090909091
694	9059	0.09090909090909091
1034	9059	0.09090909090909091
12166	9059	0.09090909090909091
26431	9059	0.09090909090909091
23	9059	0.09090909090909091
9	9060	0.25
11	9060	0.25
12	9060	0.25
24	9060	0.25
3	9061	0.18181818181818182
62	9061	0.2727272727272727
4846	9061	0.18181818181818182
5890	9061	0.09090909090909091
11096	9061	0.09090909090909091
18839	9061	0.09090909090909091
7	9061	0.09090909090909091
11	9062	0.3333333333333333
26	9062	0.6666666666666666
3	9063	0.14285714285714285
25	9063	0.14285714285714285
57	9063	0.42857142857142855
162	9063	0.14285714285714285
2	9063	0.14285714285714285
11	9064	0.5
12	9064	0.25
27	9064	0.25
2	9065	0.25
9	9065	0.25
29	9065	0.25
28	9065	0.25
11	9066	0.16666666666666666
29	9066	0.16666666666666666
356	9066	0.16666666666666666
5184	9066	0.16666666666666666
20682	9066	0.16666666666666666
27	9066	0.16666666666666666
2	9067	0.16666666666666666
3	9067	0.16666666666666666
12	9067	0.3333333333333333
14	9067	0.3333333333333333
9	9068	0.05714285714285714
11	9068	0.02857142857142857
21	9068	0.02857142857142857
26	9068	0.02857142857142857
27	9068	0.05714285714285714
31	9068	0.02857142857142857
35	9068	0.02857142857142857
44	9068	0.02857142857142857
51	9068	0.02857142857142857
57	9068	0.02857142857142857
119	9068	0.02857142857142857
121	9068	0.02857142857142857
597	9068	0.02857142857142857
3152	9068	0.05714285714285714
3632	9068	0.02857142857142857
4120	9068	0.02857142857142857
7451	9068	0.02857142857142857
7711	9068	0.02857142857142857
14171	9068	0.05714285714285714
14216	9068	0.02857142857142857
20301	9068	0.02857142857142857
20674	9068	0.02857142857142857
22251	9068	0.02857142857142857
27141	9068	0.08571428571428572
27753	9068	0.02857142857142857
28181	9068	0.02857142857142857
28421	9068	0.05714285714285714
29699	9068	0.02857142857142857
9	9069	0.5
25	9069	0.25
47	9069	0.25
9	9070	0.3333333333333333
198	9070	0.3333333333333333
27	9070	0.3333333333333333
3	9071	0.2
25	9071	0.6
5506	9071	0.2
7	9072	0.1111111111111111
9	9072	0.1111111111111111
57	9072	0.1111111111111111
119	9072	0.1111111111111111
1034	9072	0.1111111111111111
2186	9072	0.2222222222222222
3632	9072	0.1111111111111111
27	9072	0.1111111111111111
7	9073	0.5
27	9073	0.5
7	9074	0.3333333333333333
12	9074	0.3333333333333333
25	9074	0.3333333333333333
9	9075	0.125
25	9075	0.125
27	9075	0.25
29	9075	0.125
146	9075	0.125
162	9075	0.125
458	9075	0.125
25	9077	0.5
27	9077	0.5
