q_id,A,B,Q+,C,U+,D,Q+ U+
221356,0.8,0.2,⬇⬇⬇,0.8,-,0.2,⬇⬇⬇
9637,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
47920,0.4,0.2,⬇,0.2,⬇,0.2,⬇
237613,0.8,0.4,⬇⬇,1.0,⬆,0.2,⬇⬇⬇
35283,0.0,0.0,-,0.0,-,0.0,-
44624,0.4,0.0,⬇⬇,0.8,⬆⬆,0.6,⬆
275970,0.4,0.4,-,1.0,⬆⬆⬆,0.2,⬇
107076,0.2,0.2,-,0.2,-,0.2,-
224993,1.0,0.8,⬇,0.8,⬇,0.2,⬇⬇⬇⬇
54951,0.8,0.4,⬇⬇,0.4,⬇⬇,0.2,⬇⬇⬇
9520,0.4,0.8,⬆⬆,0.0,⬇⬇,0.4,-
63943,1.0,0.2,⬇⬇⬇⬇,0.2,⬇⬇⬇⬇,0.0,⬇⬇⬇⬇⬇
79711,0.0,0.0,-,0.0,-,0.2,⬆
42211,0.4,0.2,⬇,0.4,-,0.2,⬇
32872,0.2,0.0,⬇,0.4,⬆,0.4,⬆
9427,0.4,0.2,⬇,1.0,⬆⬆⬆,0.6,⬆
244876,0.2,0.4,⬆,0.2,-,0.4,⬆
61132,0.0,0.0,-,0.0,-,0.0,-
235418,0.6,0.2,⬇⬇,0.4,⬇,0.2,⬇⬇
261416,1.0,0.6,⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
204518,0.4,0.0,⬇⬇,0.2,⬇,0.0,⬇⬇
217686,1.0,0.4,⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
9471,0.4,0.0,⬇⬇,0.4,-,0.0,⬇⬇
283053,1.0,0.4,⬇⬇⬇,0.8,⬇,0.2,⬇⬇⬇⬇
12175,0.0,0.0,-,1.0,⬆⬆⬆⬆⬆,0.2,⬆
250727,1.0,0.0,⬇⬇⬇⬇⬇,1.0,-,0.0,⬇⬇⬇⬇⬇
218573,0.2,0.0,⬇,0.2,-,0.0,⬇
198634,1.0,0.4,⬇⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
54467,0.4,0.2,⬇,0.4,-,0.2,⬇
10630,0.4,0.2,⬇,0.8,⬆⬆,0.8,⬆⬆
49934,0.4,0.6,⬆,1.0,⬆⬆⬆,0.2,⬇
52045,0.4,0.0,⬇⬇,0.4,-,0.2,⬇
133756,0.0,0.6,⬆⬆⬆,0.6,⬆⬆⬆,0.6,⬆⬆⬆
42347,0.6,0.4,⬇,0.4,⬇,0.2,⬇⬇
190708,0.4,0.2,⬇,0.4,-,0.2,⬇
226274,0.8,0.8,-,0.8,-,0.2,⬇⬇⬇
91631,0.2,0.2,-,0.4,⬆,0.4,⬆
29918,1.0,0.6,⬇⬇,1.0,-,0.2,⬇⬇⬇⬇
230869,0.2,0.4,⬆,0.8,⬆⬆⬆,0.4,⬆
129736,0.4,0.4,-,0.4,-,0.2,⬇
244991,0.4,0.6,⬆,0.4,-,0.2,⬇
143986,1.0,0.4,⬇⬇⬇,0.6,⬇⬇,0.2,⬇⬇⬇⬇
48857,0.8,0.2,⬇⬇⬇,1.0,⬆,0.0,⬇⬇⬇⬇
147211,0.4,0.2,⬇,0.4,-,0.8,⬆⬆
30043,0.2,0.2,-,0.2,-,0.2,-
220094,0.8,0.2,⬇⬇⬇,1.0,⬆,0.2,⬇⬇⬇
10145,0.8,0.2,⬇⬇⬇,0.6,⬇,0.2,⬇⬇⬇
