q_id,A,B,Q+,C,U+,D,Q+ U+
9135,0.2,0.2,-,1,⬆⬆⬆⬆,0.8,⬆⬆⬆
9197,0.8,0.6,⬇,0.6,⬇,0.4,⬇⬇
9251,0.8,0.6,⬇,0.8,-,0.4,⬇⬇
9273,0.2,0.2,-,0.6,⬆,0.4,⬆
9277,0.2,0,⬇,0.4,⬆,0.4,⬆
9427,0.4,0.2,⬇,1,⬆⬆,0.6,-
9606,0.6,0.4,-,0.8,⬆,0.6,-
9615,0.2,0,⬇,0.4,⬆,0.4,⬆
9620,0.8,0.8,-,0.8,-,0.8,-
9653,0.4,0.2,⬇,0.2,⬇,0.2,⬇
9684,0.8,0.8,-,1,-,0.6,⬇
9750,0.4,0.4,-,0.8,⬆⬆,0.4,-
9796,0.6,0.8,⬆,0.8,⬆,0.6,-
10006,0.2,0.2,-,0.2,-,0,⬇
10013,0.8,0.6,⬇,0.8,-,0.8,-
10020,0.4,0.2,⬇,0.4,-,0.4,-
10027,0.2,0.2,-,0.2,-,0.8,⬆⬆⬆
10072,0.4,0.4,-,0.4,-,0.8,⬆⬆
10105,0.2,0.2,-,0.4,⬆,0.4,⬆
10120,0.2,0.2,-,0.2,-,0.2,-
10149,0.8,0.4,⬇⬇,1,-,0.2,⬇⬇⬇
10238,0.4,0,⬇⬇,0.4,-,0.2,⬇
10280,0.4,0.2,⬇,0.8,⬆⬆,0,⬇⬇
10284,0.2,0.2,-,0.2,-,0.2,-
10313,0.2,0.2,-,0.6,⬆,0.4,⬆
10323,0.4,0.4,-,0.6,-,0.4,-
10342,0.8,0.8,-,0.4,⬇⬇,0.2,⬇⬇⬇
