,A,A-q,B,B-q,C,C-q,D,D-q
0,1.0,52790,12.0,52790,11.0,52790,31.0,52790
1,4.0,30339,1.0,30339,2.0,30339,2.0,30339
2,1.0,195962,14.0,195962,1.0,195962,9.0,195962
3,3.0,11167,4.0,11167,5.0,11167,6.0,11167
4,100.0,173089,41.0,173089,27.0,173089,50.0,173089
5,100.0,30378,7.0,30378,5.0,30378,2.0,30378
6,0.0,74899,10.0,74899,1.0,74899,12.0,74899
7,33.0,12858,100.0,12858,51.0,12858,100.0,12858
8,92.0,10865,100.0,10865,100.0,10865,100.0,10865
9,2.0,44691,4.0,44691,15.0,44691,58.0,44691
10,100.0,148121,100.0,148121,100.0,148121,100.0,148121
11,9.0,196227,100.0,196227,27.0,196227,100.0,196227
12,12.0,9087,25.0,9087,9.0,9087,13.0,9087
13,19.0,147391,16.0,147391,10.0,147391,20.0,147391
14,8.0,62520,67.0,62520,26.0,62520,100.0,62520
15,3.0,222155,9.0,222155,7.0,222155,80.0,222155
16,100.0,221329,100.0,221329,100.0,221329,100.0,221329
17,100.0,197318,100.0,197318,1.0,197318,12.0,197318
18,100.0,208382,100.0,208382,74.0,208382,38.0,208382
19,100.0,185149,100.0,185149,40.0,185149,14.0,185149
20,100.0,210527,100.0,210527,84.0,210527,100.0,210527
21,20.0,11809,87.0,11809,14.0,11809,17.0,11809
22,19.0,38267,2.0,38267,20.0,38267,6.0,38267
23,100.0,31800,100.0,31800,100.0,31800,100.0,31800
24,57.0,251601,88.0,251601,78.0,251601,100.0,251601
25,30.0,50294,16.0,50294,28.0,50294,40.0,50294
26,8.0,45429,100.0,45429,16.0,45429,100.0,45429
27,0.0,33755,1.0,33755,0.0,33755,4.0,33755
28,100.0,12771,3.0,12771,4.0,12771,7.0,12771
29,0.0,33958,5.0,33958,2.0,33958,56.0,33958
30,34.0,12839,81.0,12839,51.0,12839,100.0,12839
31,5.0,254927,4.0,254927,5.0,254927,17.0,254927
32,51.0,9377,77.0,9377,38.0,9377,94.0,9377
33,100.0,12881,100.0,12881,1.0,12881,1.0,12881
34,1.0,9232,5.0,9232,4.0,9232,19.0,9232
35,20.0,11887,22.0,11887,35.0,11887,85.0,11887
36,12.0,197046,100.0,197046,43.0,197046,100.0,197046
37,100.0,53524,100.0,53524,100.0,53524,100.0,53524
38,17.0,10845,88.0,10845,25.0,10845,74.0,10845
39,22.0,160611,56.0,160611,29.0,160611,23.0,160611
40,100.0,73468,52.0,73468,43.0,73468,100.0,73468
41,6.0,9336,4.0,9336,8.0,9336,51.0,9336
42,2.0,238578,3.0,238578,3.0,238578,16.0,238578
43,20.0,68434,3.0,68434,19.0,68434,9.0,68434
44,4.0,200090,2.0,200090,4.0,200090,7.0,200090
45,25.0,61479,36.0,61479,17.0,61479,93.0,61479
46,92.0,11794,100.0,11794,100.0,11794,78.0,11794
47,37.0,41889,50.0,41889,50.0,41889,49.0,41889
48,53.0,213487,63.0,213487,14.0,213487,22.0,213487
49,37.0,250909,100.0,250909,52.0,250909,100.0,250909
50,100.0,239650,100.0,239650,100.0,239650,64.0,239650
51,8.0,197314,76.0,197314,16.0,197314,100.0,197314
52,100.0,245967,1.0,245967,1.0,245967,1.0,245967
53,100.0,274739,100.0,274739,9.0,274739,60.0,274739
54,100.0,11556,0.0,11556,1.0,11556,1.0,11556
55,100.0,39180,100.0,39180,100.0,39180,100.0,39180
56,9.0,37126,28.0,37126,8.0,37126,12.0,37126
57,32.0,12907,27.0,12907,63.0,12907,100.0,12907
58,51.0,50763,100.0,50763,3.0,50763,5.0,50763
59,100.0,115546,100.0,115546,100.0,115546,100.0,115546
60,100.0,207892,0.0,207892,0.0,207892,0.0,207892
61,0.0,9136,15.0,9136,3.0,9136,100.0,9136
62,0.0,219475,0.0,219475,0.0,219475,0.0,219475
63,58.0,44777,100.0,44777,85.0,44777,100.0,44777
64,78.0,211291,100.0,211291,95.0,211291,100.0,211291
65,100.0,90586,100.0,90586,100.0,90586,100.0,90586
66,2.0,81051,0.0,81051,0.0,81051,5.0,81051
67,100.0,248138,100.0,248138,79.0,248138,27.0,248138
68,12.0,112391,32.0,112391,13.0,112391,44.0,112391
69,9.0,34199,10.0,34199,10.0,34199,8.0,34199
70,100.0,11957,100.0,11957,100.0,11957,100.0,11957
71,7.0,10757,18.0,10757,17.0,10757,68.0,10757
72,100.0,12068,100.0,12068,100.0,12068,100.0,12068
73,60.0,113386,100.0,113386,89.0,113386,100.0,113386
74,6.0,192707,23.0,192707,18.0,192707,27.0,192707
75,100.0,75769,49.0,75769,34.0,75769,24.0,75769
76,0.0,59743,0.0,59743,0.0,59743,3.0,59743
77,1.0,56398,2.0,56398,1.0,56398,3.0,56398
78,100.0,63193,100.0,63193,100.0,63193,100.0,63193
79,100.0,66738,100.0,66738,100.0,66738,100.0,66738
80,100.0,37222,100.0,37222,100.0,37222,100.0,37222
81,95.0,47209,100.0,47209,100.0,47209,100.0,47209
82,27.0,238095,27.0,238095,16.0,238095,41.0,238095
83,59.0,147871,12.0,147871,22.0,147871,13.0,147871
84,7.0,116741,100.0,116741,1.0,116741,1.0,116741
85,100.0,89656,100.0,89656,100.0,89656,68.0,89656
86,0.0,81636,1.0,81636,1.0,81636,1.0,81636
87,17.0,74908,31.0,74908,13.0,74908,32.0,74908
88,46.0,43397,78.0,43397,100.0,43397,100.0,43397
89,100.0,191721,100.0,191721,59.0,191721,100.0,191721
90,0.0,10999,1.0,10999,0.0,10999,9.0,10999
91,59.0,9747,33.0,9747,58.0,9747,100.0,9747
92,19.0,70009,100.0,70009,52.0,70009,100.0,70009
93,100.0,38948,100.0,38948,100.0,38948,78.0,38948
94,7.0,188957,100.0,188957,11.0,188957,100.0,188957
95,100.0,53010,58.0,53010,14.0,53010,25.0,53010
96,30.0,11074,100.0,11074,44.0,11074,100.0,11074
97,9.0,231492,18.0,231492,7.0,231492,9.0,231492
98,3.0,11998,1.0,11998,3.0,11998,3.0,11998
99,3.0,188869,1.0,188869,3.0,188869,1.0,188869
100,7.0,64318,13.0,64318,7.0,64318,20.0,64318
101,4.0,36887,42.0,36887,4.0,36887,33.0,36887
102,0.0,12121,1.0,12121,0.0,12121,2.0,12121
103,0.0,231216,2.0,231216,0.0,231216,1.0,231216
104,100.0,52457,17.0,52457,100.0,52457,58.0,52457
105,1.0,41294,2.0,41294,1.0,41294,14.0,41294
106,0.0,188982,6.0,188982,3.0,188982,56.0,188982
107,24.0,28134,12.0,28134,15.0,28134,17.0,28134
108,100.0,191424,100.0,191424,100.0,191424,100.0,191424
109,100.0,67488,100.0,67488,100.0,67488,100.0,67488
110,92.0,200628,21.0,200628,61.0,200628,63.0,200628
111,0.0,129286,3.0,129286,1.0,129286,5.0,129286
112,11.0,62510,100.0,62510,44.0,62510,100.0,62510
113,100.0,12184,73.0,12184,27.0,12184,32.0,12184
114,19.0,187693,100.0,187693,4.0,187693,100.0,187693
115,3.0,53522,7.0,53522,5.0,53522,29.0,53522
116,2.0,59251,0.0,59251,4.0,59251,5.0,59251
117,59.0,11585,92.0,11585,60.0,11585,16.0,11585
118,13.0,45659,24.0,45659,25.0,45659,38.0,45659
119,100.0,12628,100.0,12628,10.0,12628,27.0,12628
120,64.0,30889,100.0,30889,100.0,30889,100.0,30889
121,1.0,172978,16.0,172978,1.0,172978,54.0,172978
122,100.0,45248,100.0,45248,100.0,45248,100.0,45248
123,39.0,31559,99.0,31559,100.0,31559,100.0,31559
124,3.0,58180,89.0,58180,5.0,58180,70.0,58180
125,29.0,54770,55.0,54770,47.0,54770,100.0,54770
126,100.0,12055,100.0,12055,1.0,12055,22.0,12055
127,98.0,191680,54.0,191680,34.0,191680,35.0,191680
128,85.0,63511,56.0,63511,100.0,63511,100.0,63511
129,15.0,246228,29.0,246228,8.0,246228,47.0,246228
130,70.0,209686,77.0,209686,47.0,209686,61.0,209686
131,100.0,9845,100.0,9845,100.0,9845,100.0,9845
132,41.0,10623,92.0,10623,4.0,10623,3.0,10623
133,100.0,190320,100.0,190320,100.0,190320,100.0,190320
134,1.0,46669,4.0,46669,4.0,46669,4.0,46669
135,2.0,66375,34.0,66375,3.0,66375,100.0,66375
136,100.0,146396,100.0,146396,32.0,146396,31.0,146396
137,100.0,45550,18.0,45550,40.0,45550,22.0,45550
138,100.0,244311,100.0,244311,47.0,244311,55.0,244311
139,6.0,45679,7.0,45679,6.0,45679,16.0,45679
140,8.0,10265,6.0,10265,11.0,10265,27.0,10265
141,100.0,44087,20.0,44087,2.0,44087,3.0,44087
142,16.0,196935,100.0,196935,31.0,196935,100.0,196935
143,2.0,40355,45.0,40355,8.0,40355,100.0,40355
144,34.0,186558,51.0,186558,33.0,186558,31.0,186558
145,100.0,197963,100.0,197963,100.0,197963,100.0,197963
146,100.0,39431,100.0,39431,100.0,39431,100.0,39431
147,5.0,62176,13.0,62176,4.0,62176,4.0,62176
148,44.0,9255,100.0,9255,65.0,9255,100.0,9255
149,1.0,247116,14.0,247116,5.0,247116,29.0,247116
150,1.0,50545,1.0,50545,1.0,50545,2.0,50545
151,21.0,102676,22.0,102676,35.0,102676,59.0,102676
152,19.0,9613,55.0,9613,5.0,9613,16.0,9613
153,22.0,71824,35.0,71824,46.0,71824,98.0,71824
154,100.0,202320,12.0,202320,11.0,202320,7.0,202320
155,80.0,79281,37.0,79281,38.0,79281,48.0,79281
156,17.0,62834,49.0,62834,11.0,62834,90.0,62834
157,100.0,59725,100.0,59725,100.0,59725,100.0,59725
158,5.0,34214,2.0,34214,18.0,34214,23.0,34214
159,68.0,229860,100.0,229860,74.0,229860,100.0,229860
160,100.0,231380,41.0,231380,17.0,231380,59.0,231380
161,80.0,100871,100.0,100871,100.0,100871,64.0,100871
162,1.0,61872,1.0,61872,1.0,61872,1.0,61872
163,1.0,11789,2.0,11789,2.0,11789,10.0,11789
164,2.0,11623,11.0,11623,1.0,11623,11.0,11623
165,100.0,207089,100.0,207089,10.0,207089,4.0,207089
166,1.0,58498,3.0,58498,1.0,58498,4.0,58498
167,27.0,35844,69.0,35844,51.0,35844,100.0,35844
168,4.0,32544,9.0,32544,6.0,32544,13.0,32544
169,0.0,228676,0.0,228676,0.0,228676,0.0,228676
170,3.0,208413,14.0,208413,11.0,208413,23.0,208413
171,1.0,54550,0.0,54550,0.0,54550,1.0,54550
172,2.0,65718,2.0,65718,2.0,65718,3.0,65718
173,100.0,50285,100.0,50285,41.0,50285,100.0,50285
174,10.0,236516,3.0,236516,14.0,236516,2.0,236516
175,100.0,31779,100.0,31779,34.0,31779,32.0,31779
176,100.0,211188,100.0,211188,100.0,211188,100.0,211188
177,2.0,46845,100.0,46845,5.0,46845,100.0,46845
