q_id	top 5	top 10	top 15	top 20	top 25	top 30	top 35	top 40	top 45	top 50
9041	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9056	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9063	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9084	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9097	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9107	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9116	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9130	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9134	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9135	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9152	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9159	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9163	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9166	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9195	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9197	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9201	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9208	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9210	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9251	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9257	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9261	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9273	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9277	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9287	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9301	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9311	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9343	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9373	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9384	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9427	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9442	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9471	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9511	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9512	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9520	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9553	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9556	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9588	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9606	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9615	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
